Dataset,Agent,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN
NSL-KDD,General Traffic Agent,0.9507810395906277,0.9573234483414124,0.9395960632492188,0.9483769214472352,0.038845871004023,0.0604039367507812,0.961154128995977,0.950375096122598,20144,22219,898,1295
NSL-KDD,Attack Recall Agent,0.875100996498788,0.926582822745351,0.8041419842343392,0.8610313397427893,0.0590907124626897,0.1958580157656607,0.9409092875373102,0.8725256358858247,17240,21751,1366,4199
NSL-KDD,Normal Behavior Agent,0.9038737768201812,0.9179497174040148,0.8787723307990112,0.8979338941448419,0.0728468226846044,0.1212276692009888,0.9271531773153956,0.9029627540572034,18840,21433,1684,2599
NSL-KDD,Hard-Case Agent,0.8362061226321932,0.7596298608306099,0.9649237371146042,0.8500575279421433,0.2831682311718648,0.0350762628853957,0.7168317688281352,0.8408777529713697,20687,16571,6546,752
