Dataset,Trust Method,Avg Accuracy Drop,Avg F1 Drop,Avg FPR Increase,Avg FNR Increase,Robustness Rank,Notes
UNSW-NB15,AI Trust Auditor,-0.018647063110333723,-0.012279999633139475,-0.04789864864864865,0.005228094943968925,1,Best average robustness
UNSW-NB15,Dynamic Trust,-0.018647063110333723,-0.012279999633139475,-0.04789864864864865,0.005228094943968925,2,Strongest attack detection preservation
UNSW-NB15,Global Trust Voting,-0.016785696934363326,-0.0105922329357895,-0.04605405405405407,0.0071031500926497255,3,Robustness trade-off
UNSW-NB15,Majority Vote,-0.0087056065685274,-0.004333306549381225,-0.0406351351351351,0.01735528986146645,4,Robustness trade-off
UNSW-NB15,Trust Agent Selector,0.03794393431472565,0.026048348421135698,0.06868243243243244,0.01285515750463245,5,Robustness trade-off
