Dataset,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Observation
NSL-KDD,Normal Behavior Agent,Original Agent,0.9038737768201812,0.9179497174040148,0.8787723307990112,0.8979338941448419,0.0728468226846044,0.1212276692009888,0.9271531773153956,0.9029627540572034,18840,21433,1684,2599,Stable performance profile
NSL-KDD,Normal Behavior Agent,Poisoned Agent,0.6600457850794506,0.6456211812627292,0.6505900461775269,0.6480960899565551,0.3311848423238309,0.3494099538224731,0.6688151576761691,0.6597026019268479,13948,15461,7656,7491,Severe degradation after poisoning
NSL-KDD,Normal Behavior Agent,Majority Vote,0.919045695304785,0.9568090992929604,0.8710760763095293,0.9119320262714554,0.0364666695505472,0.1289239236904706,0.9635333304494528,0.917304703379491,18675,22274,843,2764,Stable performance profile
NSL-KDD,Normal Behavior Agent,Global Trust Voting,0.9436215100098752,0.9454459872911272,0.9368907131862494,0.941148908256021,0.0501362633559717,0.0631092868137506,0.9498637366440282,0.9433772249151388,20086,21958,1159,1353,Stable performance profile
NSL-KDD,Normal Behavior Agent,Dynamic Trust,0.9356988957716132,0.9307513914656772,0.936004477820794,0.9333705435010116,0.0645845049098066,0.0639955221792061,0.9354154950901934,0.9357099864554936,20067,21624,1493,1372,Stable performance profile
NSL-KDD,Normal Behavior Agent,Trust Agent Selector,0.9712272196786068,0.9597226656935638,0.9813890573254348,0.9704349430376829,0.0381969978803478,0.018610942674565,0.9618030021196522,0.9715960297225436,21040,22234,883,399,Best overall recovery
NSL-KDD,Normal Behavior Agent,AI Trust Auditor,0.9356988957716132,0.9307513914656772,0.936004477820794,0.9333705435010116,0.0645845049098066,0.0639955221792061,0.9354154950901934,0.9357099864554936,20067,21624,1493,1372,Stable performance profile
