Dataset,Trust Method,Scenario,Poisoned Agent,Accuracy,F1-Score,FPR,FNR,Accuracy Drop,F1 Drop,FPR Increase,FNR Increase,Status
NSL-KDD,Majority Vote,Clean,None,0.9278436125325432,0.9219906340232452,0.0335251113898862,0.1138112785111245,0.0,0.0,0.0,0.0,available
NSL-KDD,Majority Vote,Poisoned,General Traffic Agent,0.9060508124607236,0.897391901166781,0.0455076350737552,0.146182191333551,0.0217928000718197,0.024598732856464,0.011982523683869,0.0323709128224264,available
NSL-KDD,Majority Vote,Poisoned,Attack Recall Agent,0.9268336475446628,0.9214419972046846,0.0406627157503136,0.1082140025187742,0.0010099649878804,0.0005486368185605,0.0071376043604273,-0.0055972759923503,available
NSL-KDD,Majority Vote,Poisoned,Normal Behavior Agent,0.919045695304785,0.9119320262714554,0.0364666695505472,0.1289239236904706,0.0087979172277583,0.0100586077517896,0.0029415581606609,0.015112645179346,available
NSL-KDD,Majority Vote,Poisoned,Hard-Case Agent,0.9132552293742706,0.9042344954037512,0.0291127741488947,0.1488875413965203,0.0145883831582727,0.0177561386194937,-0.0044123372409914,0.0350762628853957,available
NSL-KDD,Global Trust Voting,Clean,None,0.9449681299937158,0.9423872180451128,0.0461565081974304,0.064601893745044,0.0,0.0,0.0,0.0,available
NSL-KDD,Global Trust Voting,Poisoned,General Traffic Agent,0.8911033306400934,0.8882182186794453,0.1163645801790889,0.1008442557955128,0.0538647993536224,0.0541689993656675,0.0702080719816585,0.0362423620504687,available
NSL-KDD,Global Trust Voting,Poisoned,Attack Recall Agent,0.94223000269324,0.939758472196218,0.0524289483929575,0.0635290825131769,0.0027381273004758,0.0026287458488949,0.0062724401955271,-0.0010728112318671,available
NSL-KDD,Global Trust Voting,Poisoned,Normal Behavior Agent,0.9436215100098752,0.941148908256021,0.0501362633559717,0.0631092868137506,0.0013466199838405,0.0012383097890917,0.0039797551585413,-0.0014926069312934,available
NSL-KDD,Global Trust Voting,Poisoned,Hard-Case Agent,0.9413546997037436,0.9381172291296626,0.0423930440801142,0.0761695974625682,0.0036134302899721,0.0042699889154502,-0.0037634641173162,0.0115677037175241,available
NSL-KDD,Dynamic Trust,Clean,None,0.9275518448693778,0.9223067295658034,0.0410520396245187,0.1063015998880544,0.0,0.0,0.0,0.0,available
NSL-KDD,Dynamic Trust,Poisoned,General Traffic Agent,0.9037166711554,0.899357199831089,0.0873383224466842,0.1059284481552311,0.0238351737139778,0.0229495297347144,0.0462862828221655,-0.0003731517328233,available
NSL-KDD,Dynamic Trust,Poisoned,Attack Recall Agent,0.930379746835443,0.9281778189395692,0.0738417614742397,0.0650683334110732,-0.0028279019660651,-0.0058710893737659,0.0327897218497209,-0.0412332664769811,available
NSL-KDD,Dynamic Trust,Poisoned,Normal Behavior Agent,0.9356988957716132,0.9333705435010116,0.0645845049098066,0.0639955221792061,-0.0081470509022354,-0.0110638139352082,0.0235324652852878,-0.0423060777088483,available
NSL-KDD,Dynamic Trust,Poisoned,Hard-Case Agent,0.9275069575365832,0.9222548500457324,0.0410520396245187,0.1063948878212603,4.488733279461865e-05,5.187952007090768e-05,0.0,9.32879332058434e-05,available
NSL-KDD,Trust Agent Selector,Clean,None,0.9745488823054134,0.9737839837248012,0.0327032054332309,0.0176314193759037,0.0,0.0,0.0,0.0,available
NSL-KDD,Trust Agent Selector,Poisoned,General Traffic Agent,0.960117604811922,0.9593335926951508,0.0561491543020288,0.0223424600027986,0.0144312774934912,0.0144503910296505,0.0234459488687978,0.0047110406268949,available
NSL-KDD,Trust Agent Selector,Poisoned,Attack Recall Agent,0.9682197683813628,0.9674736987182432,0.044815503741835,0.0177247073091095,0.0063291139240505,0.006310285006558,0.012112298308604,9.328793320583992e-05,available
NSL-KDD,Trust Agent Selector,Poisoned,Normal Behavior Agent,0.9712272196786068,0.9704349430376829,0.0381969978803478,0.018610942674565,0.0033216626268066,0.0033490406871184,0.0054937924471168,0.0009795232986613,available
NSL-KDD,Trust Agent Selector,Poisoned,Hard-Case Agent,0.730608672232696,0.7133475031643303,0.2378768871393347,0.3033723587853911,0.2439402100727173,0.260436480560471,0.2051736817061037,0.2857409394094873,available
NSL-KDD,AI Trust Auditor,Clean,None,0.9275518448693778,0.9223067295658034,0.0410520396245187,0.1063015998880544,0.0,0.0,0.0,0.0,available
NSL-KDD,AI Trust Auditor,Poisoned,General Traffic Agent,0.9037166711554,0.899357199831089,0.0873383224466842,0.1059284481552311,0.0238351737139778,0.0229495297347144,0.0462862828221655,-0.0003731517328233,available
NSL-KDD,AI Trust Auditor,Poisoned,Attack Recall Agent,0.930379746835443,0.9281778189395692,0.0738417614742397,0.0650683334110732,-0.0028279019660651,-0.0058710893737659,0.0327897218497209,-0.0412332664769811,available
NSL-KDD,AI Trust Auditor,Poisoned,Normal Behavior Agent,0.9356988957716132,0.9333705435010116,0.0645845049098066,0.0639955221792061,-0.0081470509022354,-0.0110638139352082,0.0235324652852878,-0.0423060777088483,available
NSL-KDD,AI Trust Auditor,Poisoned,Hard-Case Agent,0.9275069575365832,0.9222548500457324,0.0410520396245187,0.1063948878212603,4.488733279461865e-05,5.187952007090768e-05,0.0,9.32879332058434e-05,available
