Dataset,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Observation
NSL-KDD,Attack Recall Agent,Original Agent,0.875100996498788,0.926582822745351,0.8041419842343392,0.8610313397427893,0.0590907124626897,0.1958580157656607,0.9409092875373102,0.8725256358858247,17240,21751,1366,4199,Stable performance profile
NSL-KDD,Attack Recall Agent,Poisoned Agent,0.6509336565221294,0.6400894897182026,0.627221418909464,0.6335901241548284,0.3270753125405545,0.3727785810905359,0.6729246874594454,0.6500730531844547,13447,15556,7561,7992,Severe degradation after poisoning
NSL-KDD,Attack Recall Agent,Majority Vote,0.9268336475446628,0.9531382421855528,0.8917859974812258,0.9214419972046846,0.0406627157503136,0.1082140025187742,0.9593372842496865,0.925561640865456,19119,22177,940,2320,Stable performance profile
NSL-KDD,Attack Recall Agent,Global Trust Voting,0.94223000269324,0.943069190661844,0.9364709174868232,0.939758472196218,0.0524289483929575,0.0635290825131769,0.9475710516070424,0.9420209845469328,20077,21905,1212,1362,Stable performance profile
NSL-KDD,Attack Recall Agent,Dynamic Trust,0.930379746835443,0.9215208496161096,0.9349316665889268,0.9281778189395692,0.0738417614742397,0.0650683334110732,0.9261582385257604,0.9305449525573436,20044,21410,1707,1395,Stable performance profile
NSL-KDD,Attack Recall Agent,Trust Agent Selector,0.9682197683813628,0.9531115637021952,0.9822752926908904,0.9674736987182432,0.044815503741835,0.0177247073091095,0.955184496258165,0.9687298944745276,21059,22081,1036,380,Best overall recovery
NSL-KDD,Attack Recall Agent,AI Trust Auditor,0.930379746835443,0.9215208496161096,0.9349316665889268,0.9281778189395692,0.0738417614742397,0.0650683334110732,0.9261582385257604,0.9305449525573436,20044,21410,1707,1395,Stable performance profile
