Dataset,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Observation
CICIDS2017,Attack Recall Agent,Original Agent,0.86682,0.6201159376646842,0.836243654822335,0.7121428262655082,0.125678704856787,0.1637563451776649,0.874321295143213,0.855282474982774,8237,35104,5046,1613,Stable performance profile
CICIDS2017,Attack Recall Agent,Poisoned Agent,0.64894,0.3106347411377157,0.6414213197969543,0.4185630527675643,0.3492154420921544,0.3585786802030457,0.6507845579078456,0.6461029388524,6318,26129,14021,3532,Severe degradation after poisoning
CICIDS2017,Attack Recall Agent,Majority Vote,0.94138,0.9685764594338344,0.725989847715736,0.8299193407996286,0.0057783312577833,0.2740101522842639,0.9942216687422168,0.8601057582289764,7151,39918,232,2699,Stable performance profile
CICIDS2017,Attack Recall Agent,Global Trust Voting,0.9616,0.913279132791328,0.8895431472081218,0.9012548858259616,0.0207222914072229,0.1104568527918781,0.9792777085927772,0.9344104279004496,8762,39318,832,1088,Stable performance profile
CICIDS2017,Attack Recall Agent,Dynamic Trust,0.95164,0.9516285853184248,0.7949238578680203,0.8662462661798872,0.0099128268991282,0.2050761421319797,0.9900871731008716,0.892505515484446,7830,39752,398,2020,Stable performance profile
CICIDS2017,Attack Recall Agent,Trust Agent Selector,0.98798,0.9601950442830132,0.9795939086294416,0.969797477260164,0.0099626400996264,0.0204060913705583,0.9900373599003736,0.9848156342649076,9649,39750,400,201,Best overall recovery
CICIDS2017,Attack Recall Agent,AI Trust Auditor,0.95164,0.9516285853184248,0.7949238578680203,0.8662462661798872,0.0099128268991282,0.2050761421319797,0.9900871731008716,0.892505515484446,7830,39752,398,2020,Stable performance profile
