Dataset,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Observation
CICIDS2017,Hard-Case Agent,Original Agent,0.96824,0.8665483584738243,0.991472081218274,0.924810606060606,0.0374595267745952,0.0085279187817258,0.9625404732254048,0.9770062772218394,9766,38646,1504,84,Stable performance profile
CICIDS2017,Hard-Case Agent,Poisoned Agent,0.68804,0.3536063569682152,0.704771573604061,0.4709314157791194,0.3160647571606476,0.2952284263959391,0.6839352428393525,0.6943534082217067,6942,27460,12690,2908,Severe degradation after poisoning
CICIDS2017,Hard-Case Agent,Majority Vote,0.92892,0.9121497774286462,0.7073096446700508,0.7967749313815188,0.0167123287671232,0.2926903553299492,0.9832876712328767,0.8452986579514637,6967,39479,671,2883,Best overall recovery
CICIDS2017,Hard-Case Agent,Global Trust Voting,0.9177,0.7917981072555205,0.7899492385786802,0.7908725923667226,0.050958904109589,0.2100507614213198,0.949041095890411,0.8694951672345456,7781,38104,2046,2069,Strongest attack detection preservation
CICIDS2017,Hard-Case Agent,Dynamic Trust,0.91814,0.8107524560077729,0.7624365482233503,0.7858525610840789,0.0436612702366127,0.2375634517766497,0.9563387297633872,0.8593876389933688,7510,38397,1753,2340,Lower robustness than majority voting
CICIDS2017,Hard-Case Agent,Trust Agent Selector,0.73396,0.4000926140310257,0.7017258883248731,0.5096217650962177,0.25813200498132,0.2982741116751269,0.74186799501868,0.7217969416717765,6912,29786,10364,2938,Lower robustness than majority voting
CICIDS2017,Hard-Case Agent,AI Trust Auditor,0.91814,0.8107524560077729,0.7624365482233503,0.7858525610840789,0.0436612702366127,0.2375634517766497,0.9563387297633872,0.8593876389933688,7510,38397,1753,2340,Stable performance profile
