Dataset,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Observation
UNSW-NB15,Attack Recall Agent,Original Agent,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808,0.5747837837837838,0.7864543643175514,45247,21267,15733,85,Maintains attack recall but increases false positives
UNSW-NB15,Attack Recall Agent,Poisoned Agent,0.6252611378321916,0.6472251032070445,0.7020647666107827,0.6735305010316914,0.4688378378378378,0.2979352333892173,0.5311621621621622,0.6166134643864725,31826,19653,17347,13506,Severe degradation after poisoning
UNSW-NB15,Attack Recall Agent,Majority Vote,0.856483505805762,0.8167504630854724,0.9532118591723286,0.8797206783525723,0.262027027027027,0.0467881408276714,0.7379729729729729,0.8455924160726508,43211,27305,9695,2121,Best overall recovery
UNSW-NB15,Attack Recall Agent,Global Trust Voting,0.8425035223242482,0.7854006102185147,0.9823744816024,0.8729136651867533,0.3288648648648649,0.0176255183975999,0.6711351351351351,0.8267548083687676,44533,24832,12168,799,Strongest attack detection preservation
UNSW-NB15,Attack Recall Agent,Dynamic Trust,0.8487465384054802,0.7932012341935829,0.9810729727344922,0.8771905602508852,0.3133783783783784,0.0189270272655078,0.6866216216216217,0.833847297178057,44474,25405,11595,858,Maintains attack recall but increases false positives
UNSW-NB15,Attack Recall Agent,Trust Agent Selector,0.7516397026672497,0.6944852596367275,0.9800802964793082,0.8129288419665892,0.5282432432432432,0.0199197035206917,0.4717567567567567,0.7259185266180325,44429,17455,19545,903,Maintains attack recall but increases false positives
UNSW-NB15,Attack Recall Agent,AI Trust Auditor,0.8487465384054802,0.7932012341935829,0.9810729727344922,0.8771905602508852,0.3133783783783784,0.0189270272655078,0.6866216216216217,0.833847297178057,44474,25405,11595,858,Maintains attack recall but increases false positives
