Dataset,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Observation
NSL-KDD,Hard-Case Agent,Original Agent,0.8362061226321932,0.7596298608306099,0.9649237371146042,0.8500575279421433,0.2831682311718648,0.0350762628853957,0.7168317688281352,0.8408777529713697,20687,16571,6546,752,Maintains attack recall but increases false positives
NSL-KDD,Hard-Case Agent,Poisoned Agent,0.6332704910674207,0.6050690294663095,0.6848267176640701,0.6424820584631542,0.4145434096119739,0.3151732823359298,0.5854565903880261,0.6351416540260482,14682,13534,9583,6757,Severe degradation after poisoning
NSL-KDD,Hard-Case Agent,Majority Vote,0.9132552293742706,0.9644291754756872,0.8511124586034796,0.9042344954037512,0.0291127741488947,0.1488875413965203,0.9708872258511052,0.9109998422272924,18247,22444,673,3192,Stable performance profile
NSL-KDD,Hard-Case Agent,Global Trust Voting,0.9413546997037436,0.95285288174733,0.9238304025374318,0.9381172291296626,0.0423930440801142,0.0761695974625682,0.9576069559198858,0.9407186792286588,19806,22137,980,1633,Best overall recovery
NSL-KDD,Hard-Case Agent,Dynamic Trust,0.9275069575365832,0.9528025065897447,0.8936051121787397,0.9222548500457324,0.0410520396245187,0.1063948878212603,0.9589479603754812,0.9262765362771104,19158,22168,949,2281,Stable performance profile
NSL-KDD,Hard-Case Agent,Trust Agent Selector,0.730608672232696,0.7308896936478418,0.6966276412146089,0.7133475031643303,0.2378768871393347,0.3033723587853911,0.7621231128606654,0.7293753770376371,14935,17618,5499,6504,Lower robustness than majority voting
NSL-KDD,Hard-Case Agent,AI Trust Auditor,0.9275069575365832,0.9528025065897447,0.8936051121787397,0.9222548500457324,0.0410520396245187,0.1063948878212603,0.9589479603754812,0.9262765362771104,19158,22168,949,2281,Stable performance profile
