Dataset,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Observation
CICIDS2017,General Traffic Agent,Original Agent,0.91908,0.8142052836725855,0.7634517766497462,0.788012155506654,0.0427397260273972,0.2365482233502538,0.9572602739726028,0.8603560253111744,7520,38434,1716,2330,Stable performance profile
CICIDS2017,General Traffic Agent,Poisoned Agent,0.67088,0.3233878729547642,0.6140101522842639,0.4236480806948725,0.3151681195516811,0.385989847715736,0.6848318804483188,0.6494210163662913,6048,27496,12654,3802,Severe degradation after poisoning
CICIDS2017,General Traffic Agent,Majority Vote,0.94344,0.9600366876310272,0.7438578680203045,0.8382336117149067,0.0075965130759651,0.2561421319796954,0.9924034869240348,0.8681306774721698,7327,39845,305,2523,Stable performance profile
CICIDS2017,General Traffic Agent,Global Trust Voting,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445896,0.0221668742216687,0.0835532994923857,0.9778331257783311,0.9471399131429727,9027,39260,890,823,Stable performance profile
CICIDS2017,General Traffic Agent,Dynamic Trust,0.96314,0.9295140006437076,0.8795939086294416,0.9038652130822596,0.0163636363636363,0.1204060913705583,0.9836363636363636,0.9316151361329026,8664,39493,657,1186,Stable performance profile
CICIDS2017,General Traffic Agent,Trust Agent Selector,0.98802,0.9602029648791164,0.9797969543147208,0.9699010099994976,0.0099626400996264,0.0202030456852791,0.9900373599003736,0.9849171571075472,9651,39750,400,199,Best overall recovery
CICIDS2017,General Traffic Agent,AI Trust Auditor,0.96314,0.9295140006437076,0.8795939086294416,0.9038652130822596,0.0163636363636363,0.1204060913705583,0.9836363636363636,0.9316151361329026,8664,39493,657,1186,Stable performance profile
