Dataset,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Observation
NSL-KDD,General Traffic Agent,Original Agent,0.9507810395906277,0.9573234483414124,0.9395960632492188,0.9483769214472352,0.038845871004023,0.0604039367507812,0.961154128995977,0.950375096122598,20144,22219,898,1295,Stable performance profile
NSL-KDD,General Traffic Agent,Poisoned Agent,0.6808286201633899,0.6649150063973679,0.6787163580390877,0.6717448006832398,0.3172124410606912,0.3212836419609123,0.6827875589393088,0.6807519584891982,14551,15784,7333,6888,Severe degradation after poisoning
NSL-KDD,General Traffic Agent,Majority Vote,0.9060508124607236,0.945652735444542,0.853817808666449,0.897391901166781,0.0455076350737552,0.146182191333551,0.9544923649262448,0.9041550867963468,18305,22065,1052,3134,Stable performance profile
NSL-KDD,General Traffic Agent,Global Trust Voting,0.8911033306400934,0.8775435881094369,0.8991557442044872,0.8882182186794453,0.1163645801790889,0.1008442557955128,0.883635419820911,0.8913955820126991,19277,20427,2690,2162,Lower robustness than majority voting
NSL-KDD,General Traffic Agent,Dynamic Trust,0.9037166711554,0.9047057157691036,0.8940715518447688,0.899357199831089,0.0873383224466842,0.1059284481552311,0.9126616775533156,0.9033666146990422,19168,21098,2019,2271,Lower robustness than majority voting
NSL-KDD,General Traffic Agent,Trust Agent Selector,0.960117604811922,0.9416838889388084,0.9776575399972014,0.9593335926951508,0.0561491543020288,0.0223424600027986,0.9438508456979712,0.9607541928475862,20960,21819,1298,479,Best overall recovery
NSL-KDD,General Traffic Agent,AI Trust Auditor,0.9037166711554,0.9047057157691036,0.8940715518447688,0.899357199831089,0.0873383224466842,0.1059284481552311,0.9126616775533156,0.9033666146990422,19168,21098,2019,2271,Stable performance profile
