Dataset,Trust Method,Avg Accuracy Drop,Avg F1 Drop,Avg FPR Increase,Avg FNR Increase,Robustness Rank,Notes
NSL-KDD,AI Trust Auditor,0.00322627704461798,0.0015166264864528022,0.02565211748929355,-0.02095480199636171,1,Best average robustness
NSL-KDD,Dynamic Trust,0.00322627704461798,0.0015166264864528022,0.02565211748929355,-0.02095480199636171,2,Strongest attack detection preservation
NSL-KDD,Majority Vote,0.011547266361432775,0.01324052901157695,0.00441233724099145,0.01924063622370445,3,Robustness trade-off
NSL-KDD,Global Trust Voting,0.0153907442319777,0.015576510979776075,0.019174200804602675,0.011311161901208074,4,Robustness trade-off
NSL-KDD,Trust Agent Selector,0.0670055660292664,0.07113654932094947,0.06155643033265558,0.07288119781706234,5,Robustness trade-off
