Dataset,Agent,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN
CICIDS2017,General Traffic Agent,0.91908,0.8142052836725855,0.7634517766497462,0.788012155506654,0.0427397260273972,0.2365482233502538,0.9572602739726028,0.8603560253111744,7520,38434,1716,2330
CICIDS2017,Attack Recall Agent,0.86682,0.6201159376646842,0.836243654822335,0.7121428262655082,0.125678704856787,0.1637563451776649,0.874321295143213,0.855282474982774,8237,35104,5046,1613
CICIDS2017,Normal Behavior Agent,0.90848,0.8790971822886716,0.6208121827411167,0.7277162918005474,0.0209464508094645,0.3791878172588832,0.9790535491905354,0.799932865965826,6115,39309,841,3735
CICIDS2017,Hard-Case Agent,0.96824,0.8665483584738243,0.991472081218274,0.924810606060606,0.0374595267745952,0.0085279187817258,0.9625404732254048,0.9770062772218394,9766,38646,1504,84
