Dataset,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Observation
UNSW-NB15,Hard-Case Agent,Original Agent,0.9212456881892824,0.9096334725209836,0.9514912203300095,0.9300916442048518,0.1158108108108108,0.0485087796699902,0.8841891891891892,0.9178402047595996,43133,32715,4285,2199,Stable performance profile
UNSW-NB15,Hard-Case Agent,Poisoned Agent,0.66653306126415,0.7052704099207716,0.6774684549545575,0.691089933278576,0.3468648648648648,0.3225315450454425,0.6531351351351351,0.6653017950448463,30711,24166,12834,14621,Severe degradation after poisoning
UNSW-NB15,Hard-Case Agent,Majority Vote,0.8210780741388525,0.7685570357888825,0.9659181152386836,0.8560089927178535,0.3563783783783784,0.0340818847613165,0.6436216216216216,0.8047698684301525,43787,23814,13186,1545,Best overall recovery
UNSW-NB15,Hard-Case Agent,Global Trust Voting,0.8078875771267551,0.7425903703581938,0.9965146033706874,0.8510149295907314,0.4232162162162162,0.0034853966293126,0.5767837837837838,0.7866491935772356,45174,21341,15659,158,Maintains attack recall but increases false positives
UNSW-NB15,Hard-Case Agent,Dynamic Trust,0.8100738473497546,0.7445361266202217,0.9972205064854848,0.852549293251233,0.4192162162162162,0.0027794935145151,0.5807837837837838,0.7890021451346343,45206,21489,15511,126,Strongest attack detection preservation
UNSW-NB15,Hard-Case Agent,Trust Agent Selector,0.7322061895739203,0.6823964404336654,0.9608223771287392,0.7980212532063027,0.5478918918918919,0.0391776228712609,0.4521081081081081,0.7064652426184236,43556,16728,20272,1776,Maintains attack recall but increases false positives
UNSW-NB15,Hard-Case Agent,AI Trust Auditor,0.8100738473497546,0.7445361266202217,0.9972205064854848,0.852549293251233,0.4192162162162162,0.0027794935145151,0.5807837837837838,0.7890021451346343,45206,21489,15511,126,Maintains attack recall but increases false positives
