Dataset,Agent,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN
UNSW-NB15,General Traffic Agent,0.8076325122674052,0.7428049262381454,0.9952130945027796,0.8506806954029491,0.4221891891891892,0.0047869054972205,0.5778108108108108,0.7865119526567952,45115,21379,15621,217
UNSW-NB15,Attack Recall Agent,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808,0.5747837837837838,0.7864543643175514,45247,21267,15733,85
UNSW-NB15,Normal Behavior Agent,0.7614779186707477,0.7208223039636976,0.925086031942116,0.8102792000772873,0.438972972972973,0.074913968057884,0.561027027027027,0.7430565294845715,41936,20758,16242,3396
UNSW-NB15,Hard-Case Agent,0.9212456881892824,0.9096334725209836,0.9514912203300095,0.9300916442048518,0.1158108108108108,0.0485087796699902,0.8841891891891892,0.9178402047595996,43133,32715,4285,2199
