Dataset,Trust Method,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Status
NSL-KDD,Majority Vote,0.9278436125325432,0.9608071204612116,0.8861887214888754,0.9219906340232452,0.0335251113898862,0.1138112785111245,0.9664748886101138,0.9263318050494946,18999,22342,775,2440,available
NSL-KDD,Global Trust Voting,0.9449681299937158,0.949481558638322,0.935398106254956,0.9423872180451128,0.0461565081974304,0.064601893745044,0.9538434918025696,0.9446207990287628,20054,22050,1067,1385,available
NSL-KDD,Dynamic Trust,0.9275518448693778,0.9528072007558804,0.8936984001119456,0.9223067295658034,0.0410520396245187,0.1063015998880544,0.9589479603754812,0.9263231802437134,19160,22168,949,2279,available
NSL-KDD,Trust Agent Selector,0.9745488823054134,0.9653481230233304,0.9823685806240964,0.9737839837248012,0.0327032054332309,0.0176314193759037,0.9672967945667692,0.9748326875954328,21061,22361,756,378,available
NSL-KDD,AI Trust Auditor,0.9275518448693778,0.9528072007558804,0.8936984001119456,0.9223067295658034,0.0410520396245187,0.1063015998880544,0.9589479603754812,0.9263231802437134,19160,22168,949,2279,available
