Dataset,Trust Method,Accuracy,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Status
UNSW-NB15,Majority Vote,0.8382524413350824,0.7819065565398094,0.9794185123091856,0.8695882093717867,0.3347027027027027,0.0205814876908144,0.6652972972972973,0.8223579048032414,44399,24616,12384,933,available
UNSW-NB15,Global Trust Voting,0.8083855608997716,0.7430192402565368,0.9967131386217242,0.8513689208795764,0.4223513513513514,0.0032868613782758,0.5776486486486486,0.7871808936351864,45183,21373,15627,149,available
UNSW-NB15,Dynamic Trust,0.8175436039450031,0.7532502255940644,0.99435277508162,0.8571700230094891,0.3990810810810811,0.0056472249183799,0.6009189189189189,0.7976358470002695,45076,22234,14766,256,available
UNSW-NB15,Trust Agent Selector,0.8175314579993198,0.7528320459133452,0.9954116297538164,0.8572921317361857,0.4004054054054054,0.0045883702461837,0.5995945945945946,0.7975031121742054,45124,22185,14815,208,available
UNSW-NB15,AI Trust Auditor,0.8175436039450031,0.7532502255940644,0.99435277508162,0.8571700230094891,0.3990810810810811,0.0056472249183799,0.6009189189189189,0.7976358470002695,45076,22234,14766,256,available
