stage,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Improvement vs Best Agent Accuracy,Missed Opportunity Count,Oracle Gap
Current Trust Agent Selector,0.97756,0.9105362182502352,0.9826395939086294,0.94521484375,0.023686176836861767,0.01736040609137056,0.9763138231631382,0.9794767085358838,0.009319999999999995,1022,0.020440000000000014
Confidence-only Selector,0.9786,0.9294658579534337,0.9645685279187817,0.9466919091271423,0.01795765877957659,0.035431472081218274,0.9820423412204234,0.9733054345696026,0.010360000000000036,970,0.019399999999999973
Role-bonus Selector,0.97912,0.9186157064080623,0.9809137055837563,0.9487431264728987,0.021320049813200497,0.019086294416243654,0.9786799501867995,0.979796827885278,0.01088,944,0.018880000000000008
Disagreement-aware Selector,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9625404732254047,0.9770062772218394,0.0,1488,0.02976000000000001
Local-accuracy Selector,0.99006,0.9618765432098766,0.988730964467005,0.975118898623279,0.009613947696139477,0.011269035532994924,0.9903860523038606,0.9895585083854328,0.02182000000000006,397,0.007939999999999947
Tuned Selector,0.98836,0.9618297787522424,0.9797969543147208,0.9707302353651177,0.009539227895392279,0.020203045685279187,0.9904607721046077,0.9851288632096642,0.020120000000000027,482,0.009639999999999982
