Agent,Role,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Selected Threshold,Predicted Attack Rate,Predicted Normal Rate
General Traffic Agent,general,0.91908,0.8142052836725855,0.7634517766497462,0.788012155506654,0.042739726027397264,0.2365482233502538,0.9572602739726027,0.8603560253111744,0.5,0.18472,0.81528
Attack Recall Agent,attack_recall,0.86682,0.6201159376646842,0.836243654822335,0.7121428262655082,0.12567870485678706,0.16375634517766496,0.874321295143213,0.855282474982774,0.5599999999999998,0.26566,0.73434
Normal Behavior Agent,normal_behavior,0.90848,0.8790971822886716,0.6208121827411167,0.7277162918005474,0.020946450809464508,0.37918781725888323,0.9790535491905354,0.799932865965826,0.7400000000000003,0.13912,0.86088
Hard-Case Agent,hard_case,0.97158,0.8798557908968003,0.9910659898477158,0.9321556457388398,0.03320049813200498,0.008934010152284264,0.966799501867995,0.9789327458578554,0.3,0.2219,0.7781
