Method,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Improvement vs Hard-Case,Oracle Gap,Override Rate,Successful Override Rate,Failed Override Rate
Hard-Case Only,0.97158,0.8798557908968003,0.9910659898477158,0.9321556457388398,0.03320049813200498,0.008934010152284264,0.966799501867995,0.9789327458578554,0.0,0.02627999999999997,0.0,0.0,0.0
Majority Voting,0.94814,0.967650470421446,0.7622335025380711,0.8527457550116417,0.006251556662515567,0.23776649746192893,0.9937484433374845,0.8779909729377777,-0.023440000000000016,0.049719999999999986,0.07068,0.3341822297679683,0.6658177702320317
Disagreement-aware Selector,0.97158,0.8798557908968003,0.9910659898477158,0.9321556457388398,0.03320049813200498,0.008934010152284264,0.966799501867995,0.9789327458578554,0.0,0.02627999999999997,0.0,0.0,0.0
Hard-Case Guarded Selector,0.95058,0.8037375483658517,0.9911675126903553,0.8876664999772697,0.05937733499377335,0.00883248730964467,0.9406226650062266,0.9658950888482909,-0.02100000000000002,0.04727999999999999,0.02104,0.0009505703422053232,0.9990494296577946
Oracle,0.99786,,,,,,,,0.02627999999999997,0.0,,,
