stage,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Role,Selected Threshold,Predicted Attack Rate,Predicted Normal Rate
General Traffic Agent,0.91908,0.8142052836725855,0.7634517766497462,0.788012155506654,0.042739726027397264,0.2365482233502538,0.9572602739726027,0.8603560253111744,general,0.5,0.18472,0.81528
Attack Recall Agent,0.86682,0.6201159376646842,0.836243654822335,0.7121428262655082,0.12567870485678706,0.16375634517766496,0.874321295143213,0.855282474982774,attack_recall,0.5599999999999998,0.26566,0.73434
Normal Behavior Agent,0.90848,0.8790971822886716,0.6208121827411167,0.7277162918005474,0.020946450809464508,0.37918781725888323,0.9790535491905354,0.799932865965826,normal_behavior,0.7400000000000003,0.13912,0.86088
Hard-Case Agent,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9625404732254047,0.9770062772218394,hard_case,0.3,0.2254,0.7746
