Method,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Improvement vs Best Agent Accuracy,F1 Improvement vs Best Agent,Recall Change vs Best Agent,FNR Change vs Best Agent,Oracle Gap,Selection distribution
Current Trust Agent Selector,0.98836,0.9618297787522424,0.9797969543147208,0.9707302353651177,0.009539227895392279,0.020203045685279187,0.9904607721046077,0.9851288632096642,0.020120000000000027,0.045919629304511655,-0.011675126903553323,0.011675126903553299,0.009639999999999982,Normal Behavior Agent:0.5266; Hard-Case Agent:0.4595; Attack Recall Agent:0.0104; General Traffic Agent:0.0035
Accuracy-prioritized selector,0.97604,0.913733741392502,0.9699492385786802,0.9410026593125185,0.022465753424657533,0.030050761421319797,0.9775342465753425,0.9737417425770114,0.007800000000000029,0.01619205325191242,-0.02152284263959392,0.02152284263959391,0.02195999999999998,Hard-Case Agent:0.9200; General Traffic Agent:0.0767; Normal Behavior Agent:0.0027; Attack Recall Agent:0.0006
F1-prioritized selector,0.97596,0.9133843212237094,0.9699492385786802,0.9408173313638601,0.0225653798256538,0.030050761421319797,0.9774346201743462,0.9736919293765132,0.00772000000000006,0.016006725303254088,-0.02152284263959392,0.02152284263959391,0.02203999999999995,Hard-Case Agent:0.9218; General Traffic Agent:0.0750; Normal Behavior Agent:0.0025; Attack Recall Agent:0.0007
Recall-safe selector,0.96978,0.8769550673537655,0.9847715736040609,0.9277413801348573,0.03389788293897883,0.015228426395939087,0.9661021170610212,0.975436845332541,0.0015399999999999858,0.002930774074251241,-0.006700507614213258,0.006700507614213199,0.028220000000000023,Hard-Case Agent:0.9948; General Traffic Agent:0.0051; Attack Recall Agent:0.0001
FNR-penalty selector,0.97384,0.8961231682433686,0.9809137055837563,0.936603334625824,0.027895392278953924,0.019086294416243654,0.9721046077210461,0.9765091566524012,0.005600000000000049,0.011792728565217958,-0.01055837563451778,0.010558375634517767,0.02415999999999996,Hard-Case Agent:0.9867; General Traffic Agent:0.0129; Attack Recall Agent:0.0003; Normal Behavior Agent:0.0000
Disagreement-aware selector,0.97792,0.9137963663890991,0.9804060913705583,0.9459300617102556,0.02268991282689913,0.019593908629441624,0.9773100871731009,0.9788580892718296,0.009680000000000022,0.021119455649649566,-0.011065989847715785,0.011065989847715736,0.020079999999999987,Hard-Case Agent:0.9213; General Traffic Agent:0.0776; Normal Behavior Agent:0.0010; Attack Recall Agent:0.0000
Oracle,0.998,,,,,,,,0.02976000000000001,,,,0.0,
