Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Best Accuracy Selector,Poisoned,General Traffic Agent,0.96824,0.8665483584738243,0.9914720812182741,0.924810606060606,0.03745952677459527,0.008527918781725888,0.9914720812182741,0.9625404732254047,0.9625404732254047,0.9770062772218394,9766,38646,1504,84,0.0,0.0,0.0,0.0
Class-Specific Trust,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Class-Specific Trust,Poisoned,General Traffic Agent,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,-0.0018400000000000638,-0.00752251863613651,-0.035228426395939094,0.006351183063511831
Dynamic Trust,Clean,None,0.94556,0.9292941459889184,0.783248730964467,0.8500440722785368,0.014620174346201744,0.216751269035533,0.783248730964467,0.9853798256537982,0.9853798256537982,0.8843142783091327,7715,39563,587,2135,0.0,0.0,0.0,0.0
Dynamic Trust,Poisoned,General Traffic Agent,0.96314,0.9295140006437077,0.8795939086294416,0.9038652130822596,0.016363636363636365,0.12040609137055838,0.8795939086294416,0.9836363636363636,0.9836363636363636,0.9316151361329026,8664,39493,657,1186,-0.01758000000000004,-0.0538211408037228,-0.09634517766497461,0.001743462017434621
Confidence-Based Trust,Clean,None,0.9488,0.9723950233281493,0.7617258883248731,0.8542639189343049,0.005305105853051059,0.2382741116751269,0.7617258883248731,0.9946948941469489,0.9946948941469489,0.8782103912359109,7503,39937,213,2347,0.0,0.0,0.0,0.0
Confidence-Based Trust,Poisoned,General Traffic Agent,0.9413,0.9782819200442662,0.7179695431472081,0.828151531120089,0.0039103362391033625,0.2820304568527919,0.7179695431472081,0.9960896637608967,0.9960896637608967,0.8570296034540523,7072,39993,157,2778,0.007499999999999951,0.026112387814215876,0.04375634517766497,-0.0013947696139476962
Hybrid Trust,Clean,None,0.9488,0.9725175006481721,0.7616243654822336,0.8542473240719654,0.005280199252801992,0.2383756345177665,0.7616243654822336,0.994719800747198,0.994719800747198,0.8781720831147157,7502,39938,212,2348,0.0,0.0,0.0,0.0
Hybrid Trust,Poisoned,General Traffic Agent,0.94126,0.9784083044982699,0.7176649746192894,0.8279941434846266,0.0038854296388542964,0.28233502538071065,0.7176649746192894,0.9961145703611457,0.9961145703611457,0.8568897724902176,7069,39994,156,2781,0.007539999999999991,0.02625318058733872,0.04395939086294415,-0.0013947696139476958
Attack Override Trust,Clean,None,0.97606,0.9048376532235426,0.9817258883248731,0.9417149534985636,0.025330012453300126,0.018274111675126905,0.9817258883248731,0.9746699875466999,0.9746699875466999,0.9781979379357865,9670,39133,1017,180,0.0,0.0,0.0,0.0
Attack Override Trust,Poisoned,General Traffic Agent,0.974,0.8938640132669984,0.98497461928934,0.9372102009273571,0.028692403486924034,0.015025380710659899,0.98497461928934,0.971307596513076,0.971307596513076,0.978141107901208,9702,38998,1152,148,0.0020600000000000618,0.004504752571206527,-0.0032487309644670063,0.0033623910336239085
Role-Aware Trust Voting,Clean,None,0.9639,0.9318303811057435,0.8812182741116751,0.905817897208453,0.01581569115815691,0.11878172588832488,0.8812182741116751,0.984184308841843,0.984184308841843,0.9327012914767591,8680,39515,635,1170,0.0,0.0,0.0,0.0
Role-Aware Trust Voting,Poisoned,General Traffic Agent,0.96574,0.9102551174750428,0.9164467005076142,0.9133404158445895,0.022166874221668742,0.08355329949238578,0.9164467005076142,0.9778331257783313,0.9778331257783313,0.9471399131429727,9027,39260,890,823,-0.0018400000000000638,-0.00752251863613651,-0.035228426395939094,0.006351183063511831
Trust Agent Selector,Clean,None,0.98836,0.9618297787522424,0.9797969543147208,0.9707302353651177,0.009539227895392279,0.020203045685279187,0.9797969543147208,0.9904607721046077,0.9904607721046077,0.9851288632096642,9651,39767,383,199,0.0,0.0,0.0,0.0
Trust Agent Selector,Poisoned,General Traffic Agent,0.98802,0.9602029648791165,0.9797969543147208,0.9699010099994975,0.009962640099626401,0.020203045685279187,0.9797969543147208,0.9900373599003736,0.9900373599003736,0.9849171571075472,9651,39750,400,199,0.00034000000000000696,0.0008292253656202453,0.0,0.0004234122042341224
Confidence-Margin Trust,Clean,None,0.94494,0.9789445269267107,0.7363451776649746,0.8404890202213338,0.0038854296388542964,0.2636548223350254,0.7363451776649746,0.9961145703611457,0.9961145703611457,0.8662298740130602,7253,39994,156,2597,0.0,0.0,0.0,0.0
Confidence-Margin Trust,Poisoned,General Traffic Agent,0.93832,0.9837003145553331,0.698477157360406,0.8169080978389931,0.0028393524283935245,0.3015228426395939,0.698477157360406,0.9971606475716065,0.9971606475716065,0.8478189024660063,6880,40036,114,2970,0.006619999999999959,0.023580922382340663,0.037868020304568484,-0.001046077210460772
Local Accuracy Trust,Clean,None,0.98344,0.9548296027424884,0.9614213197969543,0.9581141238365034,0.01115815691158157,0.03857868020304569,0.9614213197969543,0.9888418430884184,0.9888418430884184,0.9751315814426864,9470,39702,448,380,0.0,0.0,0.0,0.0
Local Accuracy Trust,Poisoned,General Traffic Agent,0.98386,0.9498557357476868,0.969238578680203,0.9594492739058339,0.012552926525529265,0.030761421319796953,0.969238578680203,0.9874470734744707,0.9874470734744707,0.9783428260773368,9547,39646,504,303,-0.00041999999999997595,-0.001335150069330493,-0.007817258883248735,0.0013947696139476953
AI Trust Auditor,Clean,None,0.94556,0.9292941459889184,0.783248730964467,0.8500440722785368,0.014620174346201744,0.216751269035533,0.783248730964467,0.9853798256537982,0.9853798256537982,0.8843142783091327,7715,39563,587,2135,0.0,0.0,0.0,0.0
AI Trust Auditor,Poisoned,General Traffic Agent,0.96314,0.9295140006437077,0.8795939086294416,0.9038652130822596,0.016363636363636365,0.12040609137055838,0.8795939086294416,0.9836363636363636,0.9836363636363636,0.9316151361329026,8664,39493,657,1186,-0.01758000000000004,-0.0538211408037228,-0.09634517766497461,0.001743462017434621
