Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Dynamic Trust,Poisoned,Normal Behavior Agent,0.8374872467570325,0.7734960797069196,0.9967131386217242,0.8710311722861604,0.3575945945945946,0.0032868613782758315,0.9967131386217242,0.6424054054054054,0.6424054054054054,0.8195592720135647,45183,23769,13231,149,-0.019943642812029316,-0.01386114927667137,-0.0023603635401041206,-0.04148648648648651
Confidence-Based Trust,Clean,None,0.8730870135548754,0.8319471670821993,0.9642857142857143,0.8932413793103449,0.23864864864864865,0.03571428571428571,0.9642857142857143,0.7613513513513513,0.7613513513513513,0.8628185328185328,43713,28170,8830,1619,0.0,0.0,0.0,0.0
Confidence-Based Trust,Poisoned,Normal Behavior Agent,0.8868848078511393,0.8538698838740102,0.958616429894997,0.9032164198493116,0.201,0.04138357010500309,0.958616429894997,0.799,0.799,0.8788082149474985,43456,29563,7437,1876,-0.013797794296263932,-0.009975040538966695,0.005669284390717379,-0.03764864864864864
Hybrid Trust,Clean,None,0.873111305446242,0.8318651420308606,0.964484249536751,0.89327925958464,0.23883783783783782,0.03551575046324892,0.964484249536751,0.7611621621621621,0.7611621621621621,0.8628232058494566,43722,28163,8837,1610,0.0,0.0,0.0,0.0
Hybrid Trust,Poisoned,Normal Behavior Agent,0.8869941213622893,0.8537845162810794,0.9589914409247331,0.9033350649350649,0.20121621621621621,0.04100855907526692,0.9589914409247331,0.7987837837837838,0.7987837837837838,0.8788876123542584,43473,29555,7445,1859,-0.01388281591604723,-0.010055805350424829,0.005492808612018001,-0.03762162162162161
Attack Override Trust,Clean,None,0.7543968323373658,0.6919126301147914,0.9985661342980676,0.8174258498487653,0.5447567567567567,0.0014338657019324099,0.9985661342980676,0.4552432432432432,0.4552432432432432,0.7269046887706554,45267,16844,20156,65,0.0,0.0,0.0,0.0
Attack Override Trust,Poisoned,Normal Behavior Agent,0.7705509400961958,0.7063092024156926,0.998433777464043,0.827342271942091,0.5086486486486487,0.00156622253595694,0.998433777464043,0.49135135135135133,0.49135135135135133,0.7448925644076971,45261,18180,18820,71,-0.016154107758830083,-0.00991642209332566,0.00013235683402453013,-0.03610810810810805
Role-Aware Trust Voting,Clean,None,0.8374751008113491,0.7802571794466958,0.9811391511515044,0.8692431719353105,0.33854054054054056,0.018860848848495544,0.9811391511515044,0.6614594594594595,0.6614594594594595,0.821299305305482,44477,24474,12526,855,0.0,0.0,0.0,0.0
Role-Aware Trust Voting,Poisoned,Normal Behavior Agent,0.8537142301899626,0.8010091510833002,0.977036089296744,0.8803092640073142,0.2973783783783784,0.02296391070325598,0.977036089296744,0.7026216216216217,0.7026216216216217,0.8398288554591828,44291,25997,11003,1041,-0.016239129378613493,-0.011066092072003708,0.004103061854760434,-0.041162162162162175
Trust Agent Selector,Clean,None,0.8175314579993198,0.7528320459133452,0.9954116297538163,0.8572921317361857,0.4004054054054054,0.004588370246183711,0.9954116297538163,0.5995945945945946,0.5995945945945946,0.7975031121742054,45124,22185,14815,208,0.0,0.0,0.0,0.0
Trust Agent Selector,Poisoned,Normal Behavior Agent,0.8172642471942866,0.7527581660073773,0.9948822024177182,0.8570478407525298,0.40035135135135136,0.005117797582281832,0.9948822024177182,0.5996486486486486,0.5996486486486486,0.7972654255331835,45100,22187,14813,232,0.0002672108050332245,0.00024429098365585933,0.0005294273360981205,-5.4054054054064604e-05
Confidence-Margin Trust,Clean,None,0.8749696351357916,0.8460201461584042,0.9448954381011206,0.8927283716471103,0.2107027027027027,0.05510456189887938,0.9448954381011206,0.7892972972972973,0.7892972972972973,0.867096367699209,42834,29204,7796,2498,0.0,0.0,0.0,0.0
Confidence-Margin Trust,Poisoned,Normal Behavior Agent,0.8849900403245397,0.8662255172272941,0.935608400247066,0.8995811018611803,0.17702702702702702,0.0643915997529339,0.935608400247066,0.822972972972973,0.822972972972973,0.8792906866100195,42413,30450,6550,2919,-0.010020405188748027,-0.0068527302140700685,0.009287037854054526,-0.03367567567567567
Local Accuracy Trust,Clean,None,0.8203493173978526,0.7564358763371342,0.99366893143916,0.8589735033037442,0.392,0.006331068560840025,0.99366893143916,0.608,0.608,0.8008344657195801,45045,22496,14504,287,0.0,0.0,0.0,0.0
Local Accuracy Trust,Poisoned,Normal Behavior Agent,0.8280619929067677,0.7653728294177733,0.9917497573458043,0.8639787839188254,0.37248648648648647,0.008250242654195711,0.9917497573458043,0.6275135135135135,0.6275135135135135,0.8096316354296589,44958,23218,13782,374,-0.00771267550891519,-0.005005280615081209,0.001919174093355686,-0.019513513513513547
AI Trust Auditor,Clean,None,0.8175436039450031,0.7532502255940644,0.99435277508162,0.8571700230094891,0.3990810810810811,0.005647224918379952,0.99435277508162,0.6009189189189189,0.6009189189189189,0.7976358470002695,45076,22234,14766,256,0.0,0.0,0.0,0.0
AI Trust Auditor,Poisoned,Normal Behavior Agent,0.8374872467570325,0.7734960797069196,0.9967131386217242,0.8710311722861604,0.3575945945945946,0.0032868613782758315,0.9967131386217242,0.6424054054054054,0.6424054054054054,0.8195592720135647,45183,23769,13231,149,-0.019943642812029316,-0.01386114927667137,-0.0023603635401041206,-0.04148648648648651
