Dataset,Scenario,Poisoned Agent,Poison Mode,Poison Rate,Selected Method,Selected Accuracy,Selected F1,Selected FPR,Selected FNR,AI Confidence,Suspected Unreliable Agents,Reason,Status,Fallback Used
UNSW-NB15,Clean,None,flip,0.3,Majority Voting,0.8382524413350824,0.8695882093717867,0.3347027027027027,0.020581487690814436,0.0,,AI fallback: Ollama call failed: <urlopen error [Errno 1] Operation not permitted>,fallback,True
UNSW-NB15,Poisoned,General Traffic Agent,flip,0.3,Dynamic Trust,0.8484550357090803,0.8770290647822359,0.31454054054054054,0.0185078972910968,0.0,,AI fallback: Ollama call failed: <urlopen error [Errno 1] Operation not permitted>,fallback,True
UNSW-NB15,Poisoned,Attack Recall Agent,flip,0.3,Dynamic Trust,0.8487465384054802,0.8771905602508852,0.3133783783783784,0.01892702726550781,0.0,,AI fallback: Ollama call failed: <urlopen error [Errno 1] Operation not permitted>,fallback,True
UNSW-NB15,Poisoned,Normal Behavior Agent,flip,0.3,Dynamic Trust,0.8374872467570325,0.8710311722861604,0.3575945945945946,0.0032868613782758315,0.0,,AI fallback: Ollama call failed: <urlopen error [Errno 1] Operation not permitted>,fallback,True
UNSW-NB15,Poisoned,Hard-Case Agent,flip,0.3,Dynamic Trust,0.8100738473497546,0.852549293251233,0.41921621621621624,0.002779493514515133,0.0,,AI fallback: Ollama call failed: <urlopen error [Errno 1] Operation not permitted>,fallback,True
