Method,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Improvement vs Hard-Case,Oracle Gap,Override Rate,Successful Override Rate,Failed Override Rate
Hard-Case Only,0.9212456881892824,0.9096334725209836,0.9514912203300097,0.9300916442048518,0.11581081081081081,0.048508779669990294,0.8841891891891892,0.9178402047595995,0.0,0.037203031628042504,0.0,0.0,0.0
Majority Voting,0.8382524413350824,0.7819065565398094,0.9794185123091855,0.8695882093717867,0.3347027027027027,0.020581487690814436,0.6652972972972973,0.8223579048032414,-0.08299324685420006,0.12019627848224257,0.11972258660059272,0.1533935274424267,0.8466064725575733
Disagreement-aware Selector,0.9202254287518826,0.9078875373542658,0.951667696108709,0.9292622509423801,0.1182972972972973,0.04833230389129092,0.8817027027027027,0.9166851994057059,-0.0010202594373998064,0.03822329106544231,0.0012145945683330905,0.08,0.92
Hard-Case Guarded Selector,0.8739372297527086,0.8316664452583835,0.9667122562428306,0.8941188472328487,0.23972972972972972,0.03328774375716933,0.7602702702702703,0.8634912632565505,-0.04730845843657383,0.08451149006461633,0.06406986347957051,0.13080568720379146,0.8691943127962085
Oracle,0.9584487198173249,,,,,,,,0.037203031628042504,0.0,,,
