selected_agent,number_of_samples_selected,selection_rate,selected_agent_accuracy_on_selected_samples,selected_agent_error_count,attack_selection_rate,normal_selection_rate
Attack Recall Agent,77539,0.941784482339795,0.8133455422432583,14473,0.7553360244522112,0.24466397554778885
Hard-Case Agent,4185,0.05083078268473983,0.9046594982078853,399,0.25089605734767023,0.7491039426523297
General Traffic Agent,323,0.003923140455715882,0.5820433436532507,135,0.913312693498452,0.08668730650154799
Normal Behavior Agent,285,0.0034615945197493075,0.9438596491228071,16,0.0912280701754386,0.9087719298245615
