agent_a,agent_b,agreement_rate,disagreement_rate,agent_a_correct_agent_b_wrong,agent_b_correct_agent_a_wrong,both_wrong,both_correct
General Traffic Agent,Attack Recall Agent,0.996623427100034,0.0033765728999659915,132,146,15686,66368
General Traffic Agent,Normal Behavior Agent,0.854613030170529,0.1453869698294709,7889,4081,11751,58611
General Traffic Agent,Hard-Case Agent,0.8303454306952339,0.16965456930476608,2310,11658,4174,64190
Attack Recall Agent,Normal Behavior Agent,0.8557790409561289,0.14422095904387117,7848,4026,11792,58666
Attack Recall Agent,Hard-Case Agent,0.8293980469319341,0.1706019530680659,2356,11690,4128,64158
Normal Behavior Agent,Hard-Case Agent,0.7894378856337755,0.21056211436622455,2090,15246,4394,60602
