stage,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Improvement vs Best Agent Accuracy,Missed Opportunity Count,Oracle Gap
Current Trust Agent Selector,0.8290943982898509,0.7664728847366896,0.9917718168181417,0.8646876111896451,0.3702162162162162,0.00822818318185829,0.6297837837837837,0.8107778003009627,-0.09215128989943155,10650,0.12935432152747406
Confidence-only Selector,0.7938954476995579,0.7282662932380447,0.9980808259066443,0.8420886105398337,0.4562702702702703,0.001919174093355687,0.5437297297297298,0.7709052778181871,-0.12735024048972454,13548,0.16455327211776705
Role-bonus Selector,0.8081912257688384,0.7425924709283227,0.9973528633195095,0.8513218347518264,0.4235675675675676,0.0026471366804906027,0.5764324324324325,0.786892647875971,-0.11305446242044404,12371,0.15025749404848654
Disagreement-aware Selector,0.9202254287518826,0.9078875373542658,0.951667696108709,0.9292622509423801,0.1182972972972973,0.04833230389129092,0.8817027027027027,0.9166851994057059,-0.0010202594373998064,3147,0.03822329106544231
Local-accuracy Selector,0.8541757761259292,0.7975216941042031,0.9853083914232772,0.8815251929187472,0.30648648648648646,0.014691608576722845,0.6935135135135135,0.8394109524683954,-0.06706991206335322,8585,0.10427294369139573
Tuned Selector,0.8175314579993198,0.7528320459133452,0.9954116297538163,0.8572921317361857,0.4004054054054054,0.004588370246183711,0.5995945945945946,0.7975031121742054,-0.10371423018996262,11602,0.14091726181800512
