stage,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Role,Selected Threshold,Predicted Attack Rate,Predicted Normal Rate
General Traffic Agent,0.8076325122674052,0.7428049262381454,0.9952130945027795,0.8506806954029491,0.4221891891891892,0.004786905497220506,0.5778108108108108,0.7865119526567952,general,0.5,0.7376961570227858,0.2623038429772142
Attack Recall Agent,0.8078754311810717,0.7419973761889144,0.9981249448513192,0.8512115283317029,0.4252162162162162,0.0018750551486808435,0.5747837837837838,0.7864543643175514,attack_recall,0.2,0.7406597677695186,0.25934023223048147
Normal Behavior Agent,0.7614779186707477,0.7208223039636976,0.9250860319421159,0.8102792000772873,0.438972972972973,0.07491396805788406,0.561027027027027,0.7430565294845715,normal_behavior,0.4,0.7066268279648253,0.29337317203517466
Hard-Case Agent,0.9212456881892824,0.9096334725209836,0.9514912203300097,0.9300916442048518,0.11581081081081081,0.048508779669990294,0.8841891891891892,0.9178402047595995,hard_case,0.5200000000000002,0.5759364524121848,0.42406354758781517
