Trust Method,Scenario,Poisoned Agent,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,Accuracy Drop,F1 Drop,FNR Increase,FPR Increase
Class-Specific Trust,Poisoned,General Traffic Agent,0.841908370985765,0.7845119030849416,0.9828377305214859,0.8725470996044025,0.33075675675675675,0.017162269478514073,0.9828377305214859,0.6692432432432432,0.6692432432432432,0.8260404868823645,44554,24762,12238,778,-0.03352281008599334,-0.02117817872482608,0.013875408100238242,-0.09159459459459462
Dynamic Trust,Clean,None,0.8175436039450031,0.7532502255940644,0.99435277508162,0.8571700230094891,0.3990810810810811,0.005647224918379952,0.99435277508162,0.6009189189189189,0.6009189189189189,0.7976358470002695,45076,22234,14766,256,0.0,0.0,0.0,0.0
Dynamic Trust,Poisoned,General Traffic Agent,0.8484550357090803,0.7926635905292976,0.9814921027089032,0.8770290647822359,0.31454054054054054,0.0185078972910968,0.9814921027089032,0.6854594594594594,0.6854594594594594,0.8334757810841813,44493,25362,11638,839,-0.03091143176407718,-0.019859041772746777,0.012860672372716847,-0.08454054054054055
Confidence-Based Trust,Clean,None,0.8730870135548754,0.8319471670821993,0.9642857142857143,0.8932413793103449,0.23864864864864865,0.03571428571428571,0.9642857142857143,0.7613513513513513,0.7613513513513513,0.8628185328185328,43713,28170,8830,1619,0.0,0.0,0.0,0.0
Confidence-Based Trust,Poisoned,General Traffic Agent,0.8741194189379585,0.8597975058649215,0.9216668137298156,0.8896578157272746,0.18413513513513513,0.07833318627018442,0.9216668137298156,0.8158648648648649,0.8158648648648649,0.8687658392973403,41781,30187,6813,3551,-0.0010324053830831348,0.003583563583070215,0.0426189005558987,-0.05451351351351352
Hybrid Trust,Clean,None,0.873111305446242,0.8318651420308606,0.964484249536751,0.89327925958464,0.23883783783783782,0.03551575046324892,0.964484249536751,0.7611621621621621,0.7611621621621621,0.8628232058494566,43722,28163,8837,1610,0.0,0.0,0.0,0.0
Hybrid Trust,Poisoned,General Traffic Agent,0.8741680027206918,0.8597794329451462,0.9217991705638401,0.8897097962399131,0.1841891891891892,0.07820082943615989,0.9217991705638401,0.8158108108108109,0.8158108108108109,0.8688049906873254,41787,30185,6815,3545,-0.0010566972744497916,0.003569463344726964,0.04268507897291097,-0.05464864864864863
Attack Override Trust,Clean,None,0.7543968323373658,0.6919126301147914,0.9985661342980676,0.8174258498487653,0.5447567567567567,0.0014338657019324099,0.9985661342980676,0.4552432432432432,0.4552432432432432,0.7269046887706554,45267,16844,20156,65,0.0,0.0,0.0,0.0
Attack Override Trust,Poisoned,General Traffic Agent,0.7548219404362824,0.692359474924268,0.9982793611576811,0.8176414259128769,0.5434594594594595,0.0017206388423188917,0.9982793611576811,0.45654054054054055,0.45654054054054055,0.7274099508491109,45254,16892,20108,78,-0.0004251080989166045,-0.00021557606411160002,0.0002867731403864819,-0.0012972972972972174
Role-Aware Trust Voting,Clean,None,0.8374751008113491,0.7802571794466958,0.9811391511515044,0.8692431719353105,0.33854054054054056,0.018860848848495544,0.9811391511515044,0.6614594594594595,0.6614594594594595,0.821299305305482,44477,24474,12526,855,0.0,0.0,0.0,0.0
Role-Aware Trust Voting,Poisoned,General Traffic Agent,0.8623864354078609,0.8142513863216266,0.9717418159357628,0.8860527797892027,0.2715945945945946,0.028258184064237184,0.9717418159357628,0.7284054054054054,0.7284054054054054,0.8500736106705842,44051,26951,10049,1281,-0.024911334596511736,-0.016809607853892183,0.00939733521574164,-0.06694594594594594
Trust Agent Selector,Clean,None,0.8175314579993198,0.7528320459133452,0.9954116297538163,0.8572921317361857,0.4004054054054054,0.004588370246183711,0.9954116297538163,0.5995945945945946,0.5995945945945946,0.7975031121742054,45124,22185,14815,208,0.0,0.0,0.0,0.0
Trust Agent Selector,Poisoned,General Traffic Agent,0.8172399553029199,0.752901878914405,0.9944410129709698,0.8569771973347781,0.3998648648648649,0.005558987029030266,0.9944410129709698,0.6001351351351352,0.6001351351351352,0.7972880740530525,45080,22205,14795,252,0.00029150269639988124,0.0003149344014076183,0.0009706167828465546,-0.000540540540540535
Confidence-Margin Trust,Clean,None,0.8749696351357916,0.8460201461584042,0.9448954381011206,0.8927283716471103,0.2107027027027027,0.05510456189887938,0.9448954381011206,0.7892972972972973,0.7892972972972973,0.867096367699209,42834,29204,7796,2498,0.0,0.0,0.0,0.0
Confidence-Margin Trust,Poisoned,General Traffic Agent,0.8718116892581257,0.8740535191877474,0.8963425394864555,0.8850577216292747,0.15824324324324324,0.10365746051354452,0.8963425394864555,0.8417567567567568,0.8417567567567568,0.8690496481216061,40633,31145,5855,4699,0.0031579458776659353,0.007670650017835623,0.04855289861466514,-0.05245945945945946
Local Accuracy Trust,Clean,None,0.8203493173978526,0.7564358763371342,0.99366893143916,0.8589735033037442,0.392,0.006331068560840025,0.99366893143916,0.608,0.608,0.8008344657195801,45045,22496,14504,287,0.0,0.0,0.0,0.0
Local Accuracy Trust,Poisoned,General Traffic Agent,0.8393455764465821,0.7802608376835379,0.9858598782317127,0.8710931789609099,0.34016216216216216,0.014140121768287302,0.9858598782317127,0.6598378378378379,0.6598378378378379,0.8228488580347753,44691,24414,12586,641,-0.01899625904872959,-0.012119675657165652,0.007809053207447277,-0.05183783783783785
AI Trust Auditor,Clean,None,0.8175436039450031,0.7532502255940644,0.99435277508162,0.8571700230094891,0.3990810810810811,0.005647224918379952,0.99435277508162,0.6009189189189189,0.6009189189189189,0.7976358470002695,45076,22234,14766,256,0.0,0.0,0.0,0.0
AI Trust Auditor,Poisoned,General Traffic Agent,0.8484550357090803,0.7926635905292976,0.9814921027089032,0.8770290647822359,0.31454054054054054,0.0185078972910968,0.9814921027089032,0.6854594594594594,0.6854594594594594,0.8334757810841813,44493,25362,11638,839,-0.03091143176407718,-0.019859041772746777,0.012860672372716847,-0.08454054054054055
