Agent,Role,Accuracy,Precision,Recall,F1,FPR,FNR,Specificity,Balanced Accuracy,Selected Threshold,Predicted Attack Rate,Predicted Normal Rate
General Traffic Agent,general,0.9997346512322134,0.9996958127696558,0.9999565333482362,0.9998261560621865,0.00098,4.346665176381463e-05,0.99902,0.999488266674118,0.5,0.7632804689091797,0.23671953109082036
Attack Recall Agent,attack_recall,0.8273385044753913,0.8218643770083589,0.987841756549493,0.8972417507733871,0.68962,0.012158243450507008,0.31038,0.6491108782747466,0.22,0.9171874925962955,0.08281250740370445
Normal Behavior Agent,normal_behavior,0.9996540989277066,0.9997516299285936,0.999795085784542,0.9997733573843579,0.0008,0.00020491421545798327,0.9992,0.999497542892271,0.7800000000000004,0.763114625929313,0.23688537407068702
Hard-Case Agent,hard_case,0.9492425714190947,0.9987525463316236,0.934650993833945,0.9656391339214114,0.00376,0.06534900616605503,0.99624,0.9654454969169726,0.5800000000000003,0.7141056561932876,0.28589434380671236
