Dataset,Poison Mode,Poison Rate,Poisoned Agent,Evaluation Type,Accuracy,Precision,Recall,F1,FPR,FNR,TPR,TNR,Specificity,Balanced Accuracy,TP,TN,FP,FN,ROC AUC,PR AUC,Accuracy Recovery,F1 Recovery,FNR Reduction
UNSW-NB15,flip,0.3,Hard-Case Agent,Best Accuracy Selector,0.8076325122674052,0.7428049262381454,0.9952130945027795,0.8506806954029491,0.4221891891891892,0.004786905497220506,0.9952130945027795,0.5778108108108108,0.5778108108108108,0.7865119526567952,45115,21379,15621,217,,,-0.013445561871447298,-0.005328297314904362,0.029294979264096004
UNSW-NB15,flip,0.3,Hard-Case Agent,Class-Specific Trust,0.8078875771267551,0.7425903703581938,0.9965146033706874,0.8510149295907314,0.4232162162162162,0.0034853966293126267,0.9965146033706874,0.5767837837837838,0.5767837837837838,0.7866491935772356,45174,21341,15659,158,,,-0.013190497012097402,-0.004994063127122028,0.03059648813200388
UNSW-NB15,flip,0.3,Hard-Case Agent,Dynamic Trust,0.8100738473497546,0.7445361266202217,0.9972205064854849,0.852549293251233,0.41921621621621624,0.002779493514515133,0.9972205064854849,0.5807837837837838,0.5807837837837838,0.7890021451346343,45206,21489,15511,126,,,-0.011004226789097848,-0.0034596994666205028,0.03130239124680138
UNSW-NB15,flip,0.3,Hard-Case Agent,Confidence-Based Trust,0.8491959383957635,0.8181150456162054,0.9336892261537104,0.8720896690979519,0.25432432432432434,0.0663107738462896,0.9336892261537104,0.7456756756756757,0.7456756756756757,0.8396824509146931,42326,27590,9410,3006,,,0.028117864256910985,0.01608067638009847,-0.03222888908497309
UNSW-NB15,flip,0.3,Hard-Case Agent,Hybrid Trust,0.8491837924500801,0.8180131784893045,0.9338436424600723,0.8720991316708383,0.25454054054054054,0.06615635753992764,0.9338436424600723,0.7454594594594595,0.7454594594594595,0.839651550959766,42333,27582,9418,2999,,,0.028105718311227657,0.016090138952984834,-0.032074472778611134
UNSW-NB15,flip,0.3,Hard-Case Agent,Attack Override Trust,0.7544332701744157,0.691897426493062,0.998742610076767,0.8174743608262314,0.5448918918918919,0.0012573899232330363,0.998742610076767,0.4551081081081081,0.4551081081081081,0.7269253590924376,45275,16839,20161,57,,,-0.06664480396443673,-0.038534631891622095,0.03282449483808347
UNSW-NB15,flip,0.3,Hard-Case Agent,Role-Aware Trust Voting,0.8049361123257057,0.7503849180552229,0.9675946351363275,0.8452585127088432,0.39435135135135135,0.03240536486367246,0.9675946351363275,0.6056486486486486,0.6056486486486486,0.7866216418924881,43863,22409,14591,1469,,,-0.016141961813146755,-0.010750480009010244,0.0016765198976440507
UNSW-NB15,flip,0.3,Hard-Case Agent,Trust Agent Selector,0.7322061895739203,0.6823964404336654,0.9608223771287391,0.7980212532063027,0.5478918918918919,0.03917762287126092,0.9608223771287391,0.4521081081081081,0.4521081081081081,0.7064652426184236,43556,16728,20272,1776,,,-0.08887188456493222,-0.057987739511550784,-0.00509573810994441
UNSW-NB15,flip,0.3,Hard-Case Agent,Confidence-Margin Trust,0.8407059223631151,0.8272289597172283,0.898305832524486,0.8613035247834685,0.22986486486486488,0.10169416747551399,0.898305832524486,0.7701351351351351,0.7701351351351351,0.8342204838298106,40722,28495,8505,4610,,,0.019627848224262667,0.005294532065615032,-0.06761228271419747
UNSW-NB15,flip,0.3,Hard-Case Agent,Local Accuracy Trust,0.8163897391050867,0.752486003175399,0.9932277419924116,0.8562571909439273,0.4002702702702703,0.006772258007588458,0.9932277419924116,0.5997297297297297,0.5997297297297297,0.7964787358610707,45025,22190,14810,307,,,-0.004688335033765756,0.0002481982260738036,0.027309626753728052
UNSW-NB15,flip,0.3,Hard-Case Agent,AI Trust Auditor,0.8100738473497546,0.7445361266202217,0.9972205064854849,0.852549293251233,0.41921621621621624,0.002779493514515133,0.9972205064854849,0.5807837837837838,0.5807837837837838,0.7890021451346343,45206,21489,15511,126,,,-0.011004226789097848,-0.0034596994666205028,0.03130239124680138
